TIME	IP	REQUEST	SOURCE
2015-02-27 16:01:46	182.254.211.195	/globalActivity	www.sinbad.com.cn/aboutDirect/about.html
2015-02-27 16:01:47	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:47	182.254.211.195	/	www.sinbad.com.cn/globalActivity
2015-02-27 16:01:49	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:52	119.129.40.241	/route/routeId409.html	www.sinbad.com.cn/
2015-02-27 16:01:52	114.46.74.169	/route/routeId409.html	www.sinbad.com.cn/
2015-02-27 16:02:01	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:04	111.197.160.83	/routeMatch/init	www.sinbad.com.cn/routeMatch
2015-02-27 16:02:04	182.254.183.146	/	-
2015-02-27 16:02:05	119.130.186.196	/login	www.sinbad.com.cn/login
2015-02-27 16:02:07	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:02:08	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:12	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:13	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:13	111.197.160.83	/routeMatch/init	www.sinbad.com.cn/routeMatch
2015-02-27 16:02:23	182.254.183.146	/	www.sinbad.com.cn/
2015-02-27 16:02:24	111.197.160.83	/	www.haosou.com/s
2015-02-27 16:02:26	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:28	111.197.160.83	/activity?page=fiji	www.sinbad.com.cn/
2015-02-27 16:02:30	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:30	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:31	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:02:33	157.61.96.239	/	-
2015-02-27 16:02:33	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:35	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:37	182.254.183.146	/routeMatch	www.sinbad.com.cn/
2015-02-27 16:02:37	182.254.183.146	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:02:37	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:38	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:42	203.208.60.106	/destination/5642/activity	-
2015-02-27 16:02:46	223.73.99.61	/route/routeId444.html	www.sinbad.com.cn/routeMatch
2015-02-27 16:02:50	182.254.183.146	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:02:51	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:54	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:02:56	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:02:58	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:00	157.61.96.239	/globalActivity	www.sinbad.com.cn/
2015-02-27 16:03:00	157.61.96.239	/	www.sinbad.com.cn/globalActivity
2015-02-27 16:03:01	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:02	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:02	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:07	112.124.127.44	/	-
2015-02-27 16:03:15	157.61.96.239	/activity/99.html	www.sinbad.com.cn/globalActivity
2015-02-27 16:03:16	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:17	111.197.160.83	/routeMatch/init	www.sinbad.com.cn/routeMatch
2015-02-27 16:03:18	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:21	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:03:23	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:26	111.197.160.83	/routeMatch/routeSearch	www.sinbad.com.cn/routeMatch
2015-02-27 16:03:27	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:27	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:28	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:41	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:43	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:44	111.197.160.83	/routeMatch/routeSearch	www.sinbad.com.cn/routeMatch
2015-02-27 16:03:46	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:03:48	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:52	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:52	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:53	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:03:58	183.47.228.117	/	-
2015-02-27 16:04:00	111.197.160.83	/routeMatch/routeSearch	www.sinbad.com.cn/routeMatch
2015-02-27 16:04:00	183.47.228.117	/route/routeId552.html	www.sinbad.com.cn/
2015-02-27 16:04:06	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:08	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:13	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:13	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:04:17	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:17	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:19	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:26	111.197.160.83	/routeMatch/routeSearch	www.sinbad.com.cn/routeMatch
2015-02-27 16:04:31	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:35	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:37	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:04:38	113.9.66.134	/	-
2015-02-27 16:04:38	111.197.160.83	/routeDetail?routeId=93	www.sinbad.com.cn/routeMatch
2015-02-27 16:04:39	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:42	14.150.103.6	/aboutDirect/contactus.html	www.sinbad.com.cn/
2015-02-27 16:04:42	203.208.60.98	/destination/5665/activity	-
2015-02-27 16:04:42	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:43	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:44	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:49	113.9.66.134	/routeMatch	www.sinbad.com.cn/
2015-02-27 16:04:56	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:58	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:04:58	113.9.66.134	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:05:01	113.9.66.134	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:05:01	14.150.103.6	/ideaDirect?page=customize	www.sinbad.com.cn/aboutDirect/contactus.html
2015-02-27 16:05:03	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:05:03	111.197.160.83	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:05:04	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:04	14.150.103.6	/globalActivity	www.sinbad.com.cn/ideaDirect
2015-02-27 16:05:07	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:08	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:09	14.150.103.6	/	www.sinbad.com.cn/globalActivity
2015-02-27 16:05:10	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:12	182.254.157.178	/	-
2015-02-27 16:05:13	203.208.60.104	/destination/220/food.html	-
2015-02-27 16:05:13	117.86.206.93	/	-
2015-02-27 16:05:13	110.185.143.254	/	-
2015-02-27 16:05:16	180.153.163.206	/route/routeId115.html	www.sinbad.com.cn/searchRoute
2015-02-27 16:05:18	113.9.66.134	/route/routeId526.html	www.sinbad.com.cn/
2015-02-27 16:05:21	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:23	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:27	182.118.25.216	/destination8863/activity.html	www.sinbad.com.cn/destination8863/activity.html
2015-02-27 16:05:27	218.70.96.12	/	-
2015-02-27 16:05:28	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:05:29	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:32	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:05:32	110.185.143.254	/route/routeId436.html	www.sinbad.com.cn/
